date,site,equipmentType,objectSerialNo,stationID,action,deplymentType,time,waypoint,latitude,longitude,depth,substrateType,crew,comment
2023-08-16,LWE,VR2Tx,490677,RT-LWE-11-A,retrieved,RT,13:27:05,"96, 97",,,1.6,,"AS, ND, T",
2023-08-16,LWE,VR2Tx,490676,RT-LWE-10-A,retrieved,RT,13:33:30,"98, 99",,,1.6,,"AS, ND, T",
2023-08-16,LWE,VR2Tx,490670,RT-LWE-12-A,retrieved,RT,13:41:02,"100, 101",,,1.5,,"AS, ND, T",
2023-08-17,LWE,VR2Tx,490675,RT-LWE-04-A,dataDownload,RT,11:06:00,,,,,,ND,
2023-08-17,LWE,VR2Tx,490675,RT-LWE-04-A,checked,,11:07:50,,,,,,ND,"FAST DIAGNOSTICS ON, SYNC TAG VERY HIGH ON, 100% BATTERY REMAINING VOLTAGE 3.32V"
2023-08-17,LWE,VR2Tx,490675,RT-LWE-04-A,configure,,11:08:20,,,,,,ND,"TURN OFF FAST DIAGNOSTICS, AND SYNC TAG TRANSMISSION"
2023-08-17,LWE,VR2Tx,490665,RT-LWE-08-A,dataDownload,,11:10:30,,,,,,ND,
2023-08-17,LWE,VR2Tx,490665,RT-LWE-08-A,checked,,11:11:50,,,,,,ND,"SYNC TAG VERY HIGH ON, 100% BATTERY REMAINING, 3.35V"
2023-08-17,LWE,VR2Tx,490665,RT-LWE-08-A,configure,,11:11:50,,,,,,ND,TURNED OFF SYNC TAG TRANSMISSION
2023-08-17,LWE,VR2Tx,490679,RT-LWE-07-A,dataDownload,,11:13:35,,,,,,ND,
2023-08-17,LWE,VR2Tx,490679,RT-LWE-07-A,checked,,11:15:23,,,,,,ND,"SYNC TAG VERY HIGH ON, 3.36V"
2023-08-17,LWE,VR2Tx,490679,RT-LWE-07-A,configure,,11:15:23,,,,,,ND,
2023-08-17,LWE,VR2Tx,490664,RT-LWE-13-A,dataDownload,,11:17:23,,,,,,ND,
2023-08-17,LWE,VR2Tx,490664,RT-LWE-13-A,checked,,11:18:00,,,,,,ND,3.38V
2023-08-17,LWE,VR2Tx,490666,RT-LWE-03-A,dataDownload,,11:19:36,,,,,,ND,
2023-08-17,LWE,VR2Tx,490666,RT-LWE-03-A,checked,,11:19:45,,,,,,ND,"SYNC TAG VERY HIGH ON, 3.38V"
2023-08-17,LWE,VR2Tx,490666,RT-LWE-03-A,configure,,11:20:30,,,,,,ND,TURNED OFF SYNC TAG TRANSMISSION
2023-08-17,LWE,VR2Tx,490670,RT-LWE-12-A,dataDownload,,11:22:13,,,,,,ND,
2023-08-17,LWE,VR2Tx,490670,RT-LWE-12-A,checked,,11:23:00,,,,,,ND,"RANGE TEST RANDOM LOW ON, 3.34V"
2023-08-17,LWE,VR2Tx,490670,RT-LWE-12-A,configure,,11:23:25,,,,,,ND,TURN OF TRANSMISSION
2023-08-17,LWE,VR2Tx,490672,RT-LWE-02-A,dataDownload,,11:24:44,,,,,,ND,
2023-08-17,LWE,VR2Tx,490672,RT-LWE-02-A,checked,,11:25:00,,,,,,ND,3.40V
2023-08-17,LWE,VR2Tx,490677,RT-LWE-11-A,dataDownload,,11:26:26,,,,,,ND,
2023-08-17,LWE,VR2Tx,490677,RT-LWE-11-A,checked,,11:26:40,,,,,,ND,3.41V
2023-08-17,LWE,VR2Tx,490669,RT-LWE-09-A,dataDownload,,11:27:55,,,,,,ND,
2023-08-17,LWE,VR2Tx,490669,RT-LWE-09-A,checked,,11:28:00,,,,,,ND,3.41V
2023-08-17,LWE,VR2Tx,490668,RT-LWE-01-A,dataDownload,,11:30:25,,,,,,ND,
2023-08-17,LWE,VR2Tx,490668,RT-LWE-01-A,checked,,11:30:40,,,,,,ND,3.33V
2023-08-17,LWE,VR2Tx,490678,RT-LWE-05-A,dataDownload,,11:33:10,,,,,,ND,
2023-08-17,LWE,VR2Tx,490678,RT-LWE-05-A,checked,,11:34:38,,,,,,ND,"SYNC TAG VERY HIGH ON, 3.36V"
2023-08-17,LWE,VR2Tx,490678,RT-LWE-05-A,configure,,11:34:38,,,,,,ND,TURN OFF TRANSMISSION
2023-08-17,LWE,VR2Tx,490676,RT-LWE-10-A,dataDownload,,11:36:22,,,,,,ND,
2023-08-17,LWE,VR2Tx,490676,RT-LWE-10-A,checked,,11:36:34,,,,,,ND,3.39V
2023-08-17,LWE,AquaMeasureDO,671355,RT-LWE-08-A,configure,,11:42:00,,,,,,ND,"SET TIME, TURN OFF DATA LOGGING"
2023-08-17,LWE,AquaMeasureDO,671355,RT-LWE-08-A,dataDownload,,11:44:56,,,,,,ND,"DOWNLOADED RECORDS IN A NEW SERVER SESSION (RT-LWE), DOWNLOADED AS CSV IN TIME-COLLATED FORMAT"
2023-08-17,LWE,AquaMeasureDO,671333,RT-LWE-01-A,configure,,11:52:06,,,,,,ND,"SET TIME, TURN OFF DATA LOGGING"
2023-08-17,LWE,AquaMeasureDO,671333,RT-LWE-01-A,dataDownload,,11:52:06,,,,,,ND,"DOWNLOADED RECORDS IN A NEW SERVER SESSION (RT-LWE-01-A), DOWNLOADED AS CSV IN TIME-COLLATED FORMAT"
2023-08-17,lab,AquaMeasureSal,687084,,Off,,14:53:45,,,,,,AS,
2023-08-17,lab,AquaMeasureDO,671333,,Off,,14:57:37,,,,,,AS,
2023-08-17,lab,AquaMeasureDO,671355,,Off,,14:59:20,,,,,,AS,
2023-08-17,lab,VR2Tx,490664,,Off,,13:01:33,,,,,,AS,
2023-08-17,lab,VR2Tx,490665,,Off,,13:03:09,,,,,,AS,
2023-08-17,lab,VR2Tx,490675,,Off,,13:04:55,,,,,,AS,
2023-08-17,lab,VR2Tx,490669,,Off,,13:07:50,,,,,,AS,
2023-08-17,lab,VR2Tx,490677,,Off,,13:09:14,,,,,,AS,
2023-08-17,lab,VR2Tx,490672,,Off,,13:11:00,,,,,,AS,
2023-08-17,lab,VR2Tx,490668,,Off,,13:12:45,,,,,,AS,
2023-08-17,lab,VR2Tx,490679,,Off,,13:14:50,,,,,,AS,
2023-08-17,lab,VR2Tx,490678,,Off,,13:16:24,,,,,,AS,
2023-08-17,lab,VR2Tx,490676,,Off,,13:18:24,,,,,,AS,
2023-08-17,lab,VR2Tx,490666,,Off,,13:19:42,,,,,,AS,
2023-08-17,lab,VR2Tx,490670,,Off,,13:20:59,,,,,,AS,
